date,fund_id,fund_name,nav_usd_m,investment_geography,mandate_sector,strategy,source
2024-10-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.942,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-11-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,30.3669,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-12-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,30.8276,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-01-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,31.2932,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-02-28,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,31.7356,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-03-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,32.1338,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-04-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,32.4764,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-05-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,32.7616,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-06-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,32.9951,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-07-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.1875,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-08-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.3504,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-09-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.4956,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-10-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.6338,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-11-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.7762,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2025-12-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,33.935,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2026-01-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,34.1239,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2026-02-28,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,34.3571,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2026-03-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,34.6468,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2026-04-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,35.0,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-01-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,22.1022,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-02-28,PF_HARBOR_PEAK_V,Harbor Peak Partners V,22.4144,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-03-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,22.7635,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-04-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,23.1312,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-05-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,23.4985,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-06-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,23.8488,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-07-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.1684,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-08-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.447,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-09-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.6774,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-10-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.8545,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-11-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.9756,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-12-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.0406,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-01-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.0537,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-02-29,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.0251,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-03-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.9708,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-04-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.913,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-05-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.8767,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-06-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.8867,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-07-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,24.9632,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-08-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.1186,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-09-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.3553,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-10-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,25.6646,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-11-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,26.0288,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-12-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,26.4236,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-01-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,26.8227,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-02-28,PF_HARBOR_PEAK_V,Harbor Peak Partners V,27.2019,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-03-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,27.5433,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-04-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,27.8369,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-05-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.0813,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-06-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.2816,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-07-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.4464,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-08-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.5861,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-09-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.7105,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-10-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.829,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-11-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,28.9511,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-12-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,29.0872,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-01-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,29.2491,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-02-28,PF_HARBOR_PEAK_V,Harbor Peak Partners V,29.4489,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-03-31,PF_HARBOR_PEAK_V,Harbor Peak Partners V,29.6973,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-04-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,30.0,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-01-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,16.2083,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-02-28,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,16.4373,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-03-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,16.6933,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-04-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,16.9629,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-05-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,17.2323,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-06-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,17.4891,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-07-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,17.7235,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-08-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,17.9278,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-09-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.0967,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-10-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.2266,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-11-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3154,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-12-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3631,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-01-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3727,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-02-29,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3517,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-03-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3119,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-04-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.2695,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-05-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.2429,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-06-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.2502,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-07-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.3063,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-08-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.4203,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-09-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.5939,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-10-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,18.8207,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-11-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,19.0878,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2024-12-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,19.3773,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-01-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,19.67,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-02-28,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,19.9481,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-03-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.1984,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-04-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.4137,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-05-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.593,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-06-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.7398,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-07-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.8607,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-08-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,20.9631,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-09-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.0544,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-10-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.1413,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-11-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.2308,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2025-12-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.3306,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2026-01-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.4493,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2026-02-28,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.5959,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2026-03-31,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,21.778,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2026-04-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,22.0,North America,Business Services,Co-investment,synthetic_v1_dataset_generator
2023-01-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,14.7348,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-02-28,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,14.943,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-03-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,15.1757,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-04-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,15.4208,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-05-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,15.6657,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-06-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,15.8992,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-07-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.1122,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-08-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.298,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-09-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.4516,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-10-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.5697,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-11-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6504,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-12-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6937,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-01-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.7025,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-02-29,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6834,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-03-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6472,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-04-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6087,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-05-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.5845,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-06-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.5911,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-07-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.6421,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-08-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.7458,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-09-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,16.9035,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-10-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,17.1097,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-11-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,17.3525,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2024-12-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,17.6157,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-01-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,17.8818,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-02-28,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.1346,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-03-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.3622,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-04-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.5579,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-05-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.7209,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-06-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.8544,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-07-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,18.9643,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-08-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.0574,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-09-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.1403,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-10-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.2193,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-11-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.3007,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2025-12-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.3914,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-01-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.4994,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-02-28,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.6326,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-03-31,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,19.7982,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2026-04-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,20.0,Global / Multi-region,Diversified / Secondaries,Secondaries,synthetic_v1_dataset_generator
2023-01-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,20.6287,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-02-28,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,20.9201,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-03-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,21.246,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-04-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,21.5891,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-05-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,21.932,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-06-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,22.2589,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-07-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,22.5571,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-08-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,22.8172,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-09-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.0322,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-10-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.1976,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-11-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.3105,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2023-12-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.3712,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-01-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.3835,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-02-29,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.3567,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-03-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.3061,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-04-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.2522,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-05-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.2183,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-06-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.2276,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-07-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.299,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-08-31,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.4441,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
2024-09-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,23.6649,Greater China,Consumer / Industrials,Asia Buyout / Greater China,synthetic_v1_dataset_generator
