date,position_id,holding_id,holding_name,instrument_type,position_side,market_value_usd_m,signed_notional_usd_m,gross_notional_usd_m,delta_adjusted_exposure_usd_m,current_exposure_basis,nav_weight,gross_weight,net_weight,asset_class,sub_asset_class,gics_sector_pti,gics_industry_group_pti,region_taxonomy_pti,market_cap_bucket_pti,liquidity_bucket,underlying_reference,lookthrough_method,classification_status
2023-01-31,H_LQD,H_LQD,iShares Investment Grade Corporate Bond ETF,etf,long,6.8529,6.8529,6.8529,6.8529,etf,0.012134103543500325,0.012134103543500325,0.012134103543500325,Fixed Income & Liquid Credit,Investment Grade Credit,Fixed Income / Credit,Investment Grade Credit,North America,Non-classifiable,Liquid,LQD,benchmark_proxy,proxy
2023-01-31,H_MKTNEUT,H_MKTNEUT,Equity Market Neutral Fund Sleeve,fund,long,12.86,12.86,12.86,12.86,fund,0.022770589322682975,0.022770589322682975,0.022770589322682975,Hedge Funds / Absolute Return,Equity Market Neutral,Multi-Strategy,Equity Market Neutral,Global / Multi-region,Non-classifiable,Semi-Liquid,MKTNEUT,mandate_proxy,proxy
2023-01-31,H_MSFT,H_MSFT,Microsoft,equity,long,6.4216,6.4216,6.4216,6.4216,equity,0.01137042118153507,0.01137042118153507,0.01137042118153507,Global Public Equities,US Mega-cap Technology,Information Technology,Software,North America,Mega Cap,Liquid,MSFT,direct,direct
2023-01-31,H_NQ_SHORT,H_NQ_SHORT,Nasdaq Overlay Short Future,future,short,1.2843,-7.7058,7.7058,-7.7058,signed_notional,0.002274048823259856,0.013644292939559136,-0.013644292939559136,Global Public Equities,Technology Overlay,Information Technology,Equity Index Future,North America,Mega Cap,Liquid,QQQ,underlying_proxy,proxy
2023-01-31,H_NVDA,H_NVDA,NVIDIA,equity,long,5.1372,5.1372,5.1372,5.1372,equity,0.009096195293039424,0.009096195293039424,0.009096195293039424,Global Public Equities,US Semiconductor Growth,Information Technology,Semiconductors,North America,Mega Cap,Liquid,NVDA,direct,direct
2023-01-31,H_PDD,H_PDD,PDD Holdings ADR,equity,long,4.4635,4.4635,4.4635,4.4635,equity,0.007903306799517533,0.007903306799517533,0.007903306799517533,Global Public Equities,China Internet ADR,Consumer Discretionary,Broadline Retail,Greater China,Large Cap,Liquid,PDD,direct,direct
2023-01-31,H_PF_APAC_LOGISTICS,H_PF_APAC_LOGISTICS,APAC Logistics Real Estate Fund,private_fund,long,6.3961,6.3961,6.3961,6.3961,private_fund,0.011325269546408443,0.011325269546408443,0.011325269546408443,Real Estate,APAC Logistics,Industrial Real Estate,APAC Logistics,Japan,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_APEX_SECONDARIES_II,H_PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,private_fund,long,14.7348,14.7348,14.7348,14.7348,private_fund,0.02609020836328687,0.02609020836328687,0.02609020836328687,Private Equity,Secondaries,Diversified / Secondaries,Secondaries,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_ATLAS_COINV_I,H_PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,private_fund,long,16.2083,16.2083,16.2083,16.2083,private_fund,0.028699264612662718,0.028699264612662718,0.028699264612662718,Private Equity,Co-investment,Business Services,Co-investment,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_BLUE_HORIZON_III,H_PF_BLUE_HORIZON_III,Blue Horizon Ventures III,private_fund,long,12.7074,12.7074,12.7074,12.7074,private_fund,0.022500387772866382,0.022500387772866382,0.022500387772866382,Venture Capital / Growth,US Technology VC,Information Technology,US Technology VC,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_CLIMATE_ALPHA,H_PF_CLIMATE_ALPHA,Climate Alpha Fund,private_fund,long,10.5895,10.5895,10.5895,10.5895,private_fund,0.018750323144055316,0.018750323144055316,0.018750323144055316,Venture Capital / Growth,Climate Technology,Climate / Industrials,Climate Technology,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_COVE_SPECIALTY_FIN,H_PF_COVE_SPECIALTY_FIN,Cove Specialty Finance Fund,private_fund,long,11.0109,11.0109,11.0109,11.0109,private_fund,0.01949647604767729,0.01949647604767729,0.01949647604767729,Private Credit,Specialty Finance,Financials,Specialty Finance,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_CRESCENT_DIRECT_LEND,H_PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,private_fund,long,15.7298,15.729799999999997,15.729799999999997,15.729799999999997,private_fund,0.027852007459404252,0.02785200745940425,0.02785200745940425,Private Credit,Senior Direct Lending,Diversified Credit,Senior Direct Lending,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_DIGITAL_INFRA,H_PF_DIGITAL_INFRA,Horizon Digital Infrastructure Fund,private_fund,long,6.3393,6.3393,6.3393,6.3393,private_fund,0.011224696492479331,0.011224696492479331,0.011224696492479331,Infrastructure,Digital Infrastructure,Diversified,Digital Infrastructure,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_DRAGONBRIDGE,H_PF_DRAGONBRIDGE,DragonBridge Greater China Fund,private_fund,long,20.6287,20.6287,20.6287,20.6287,private_fund,0.036526256295554456,0.036526256295554456,0.036526256295554456,Private Equity,Asia Buyout / Greater China,Consumer / Industrials,Asia Buyout / Greater China,Greater China,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_GLOBAL_GROWTH_II,H_PF_GLOBAL_GROWTH_II,Redwood Growth Fund II,private_fund,long,14.1193,14.1193,14.1193,14.1193,private_fund,0.02500037183699516,0.02500037183699516,0.02500037183699516,Venture Capital / Growth,Global Growth Equity,Information Technology / Consumer,Global Growth Equity,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_HARBOR_PEAK_V,H_PF_HARBOR_PEAK_V,Harbor Peak Partners V,private_fund,long,22.1022,22.1022,22.1022,22.1022,private_fund,0.0391353125449303,0.0391353125449303,0.0391353125449303,Private Equity,Secondaries,Diversified / Secondaries,Secondaries,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_HARBOUR_CORE_RE,H_PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,private_fund,long,15.9903,15.9903,15.9903,15.9903,private_fund,0.028313262398639006,0.028313262398639006,0.028313262398639006,Real Estate,Core Real Estate,Real Estate,Core Real Estate,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_HOME_MULTIFAMILY,H_PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,private_fund,long,9.5942,9.5942,9.5942,9.5942,private_fund,0.016987992852230564,0.016987992852230564,0.016987992852230564,Real Estate,US Multifamily,Residential Real Estate,US Multifamily,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_INDIA_DIGITAL,H_PF_INDIA_DIGITAL,Indigo India Digital Growth Fund,private_fund,long,8.4716,8.4716,8.4716,8.4716,private_fund,0.015000258515244256,0.015000258515244256,0.015000258515244256,Venture Capital / Growth,India Digital Growth,Information Technology,India Digital Growth,India,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_INFRA_CORE,H_PF_INFRA_CORE,Evergreen Core Infrastructure Fund,private_fund,long,9.509,9.509,9.509,9.509,private_fund,0.01683713327133689,0.01683713327133689,0.01683713327133689,Infrastructure,Core Infrastructure,Infrastructure,Core Infrastructure,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_LIONROCK_CREDIT,H_PF_LIONROCK_CREDIT,LionRock Asia Private Credit Fund,private_fund,long,12.9771,12.9771,12.9771,12.9771,private_fund,0.022977932713793878,0.022977932713793878,0.022977932713793878,Private Credit,Asia Private Credit,Diversified Credit,Asia Private Credit,Southeast Asia,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_METRO_LOGISTICS,H_PF_METRO_LOGISTICS,Metro Logistics Fund,private_fund,long,9.994,9.994,9.994,9.994,private_fund,0.017695899664921747,0.017695899664921747,0.017695899664921747,Real Estate,Logistics Real Estate,Industrial Real Estate,Logistics Real Estate,Southeast Asia,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_NORTHSTAR_IV,H_PF_NORTHSTAR_IV,Northstar Buyout Fund IV,private_fund,long,25.7859,25.7859,25.7859,25.7859,private_fund,0.04565786463575203,0.04565786463575203,0.04565786463575203,Private Equity,Buyout,Industrials,Buyout,North America,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_RENEWABLES_II,H_PF_RENEWABLES_II,SolarBridge Renewables Fund II,private_fund,long,7.9242,7.9242,7.9242,7.9242,private_fund,0.014031003414526007,0.014031003414526007,0.014031003414526007,Infrastructure,Renewables,Utilities / Infrastructure,Renewables,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_SEEDSPRING_I,H_PF_SEEDSPRING_I,SeedSpring Southeast Asia VC Fund I,private_fund,long,7.0597,7.059699999999999,7.059699999999999,7.059699999999999,private_fund,0.012500274451115477,0.012500274451115475,0.012500274451115475,Venture Capital / Growth,Southeast Asia VC,Information Technology / Consumer,Southeast Asia VC,Southeast Asia,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_PF_SPRING_OPP_CREDIT,H_PF_SPRING_OPP_CREDIT,Spring Point Opportunistic Credit Fund,private_fund,long,13.3704,13.3704,13.3704,13.3704,private_fund,0.02367433028615867,0.02367433028615867,0.02367433028615867,Private Credit,Opportunistic Credit,Special Situations Credit,Opportunistic Credit,Global / Multi-region,Non-classifiable,Illiquid,,mandate_proxy,proxy
2023-01-31,H_QAI,H_QAI,Multi-Strategy Liquid Alternatives ETF Proxy,etf,long,5.6262,5.6262,5.6262,5.6262,etf,0.009962044296055907,0.009962044296055907,0.009962044296055907,Hedge Funds / Absolute Return,Multi-Strategy Absolute Return,Multi-Strategy,Absolute Return,Global / Multi-region,Non-classifiable,Liquid,QAI,benchmark_proxy,proxy
2023-01-31,H_QQQ,H_QQQ,Invesco QQQ Trust,etf,long,15.4117,15.4117,15.4117,15.4117,etf,0.02728876294435406,0.02728876294435406,0.02728876294435406,Global Public Equities,US Technology / Growth,Information Technology,Growth / Technology ETF,North America,Mega Cap,Liquid,QQQ,lookthrough,lookthrough
2023-01-31,H_SPY,H_SPY,SPDR S&P 500 ETF,etf,long,25.6862,25.6862,25.6862,25.6862,etf,0.0454813305956687,0.0454813305956687,0.0454813305956687,Global Public Equities,US Large Cap Core,Multi-Sector / Diversified,Broad Market ETF,North America,Multi Cap,Liquid,SPY,lookthrough,lookthrough
2023-01-31,H_SPY_PUT,H_SPY_PUT,S&P 500 Protective Put Overlay,listed_option,long,1.2843,-5.1372,7.7058,-5.1372,delta_adjusted_exposure,0.002274048823259856,0.013644292939559136,-0.009096195293039424,Global Public Equities,Options Overlay,Multi-Sector / Diversified,Equity Index Option,North America,Multi Cap,Liquid,SPY,underlying_proxy,proxy
2023-01-31,H_TLT,H_TLT,iShares 20+ Year Treasury Bond ETF,etf,long,11.9926,11.9926,11.9926,11.9926,etf,0.021234725467434514,0.021234725467434514,0.021234725467434514,Fixed Income & Liquid Credit,Long Duration Treasuries,Fixed Income / Sovereign,Government Bonds,North America,Non-classifiable,Liquid,TLT,benchmark_proxy,proxy
2023-01-31,H_VNQ,H_VNQ,US Listed REIT ETF Proxy,etf,long,4.8225,4.8225,4.8225,4.8225,etf,0.008538970996006116,0.008538970996006116,0.008538970996006116,Hedge Funds / Absolute Return,Listed Real Estate,Real Estate,REITs,North America,Mid Cap,Liquid,VNQ,lookthrough,lookthrough
2023-02-28,H_2800HK,H_2800HK,Tracker Fund of Hong Kong ETF,etf,long,9.3437,9.3437,9.3437,9.3437,etf,0.016211172570037412,0.016211172570037412,0.016211172570037412,Global Public Equities,Hong Kong Broad Market,Multi-Sector / Diversified,Hong Kong Equity ETF,Greater China,Large Cap,Liquid,2800.HK,lookthrough,lookthrough
2023-02-28,H_ACWI,H_ACWI,iShares MSCI ACWI ETF,etf,long,14.0824,14.0824,14.0824,14.0824,etf,0.02443274255383786,0.02443274255383786,0.02443274255383786,Global Public Equities,Global Equity Core,Multi-Sector / Diversified,Broad Market ETF,Global / Multi-region,Multi Cap,Liquid,ACWI,lookthrough,lookthrough
2023-02-28,H_AGG,H_AGG,iShares Core US Aggregate Bond ETF,etf,long,20.8739,20.8739,20.8739,20.8739,etf,0.036215888257296776,0.036215888257296776,0.036215888257296776,Fixed Income & Liquid Credit,US Aggregate Bonds,Fixed Income / Credit,Aggregate Bonds,North America,Non-classifiable,Liquid,AGG,benchmark_proxy,proxy
2023-02-28,H_BABA,H_BABA,Alibaba ADR,equity,long,5.4505,5.4505,5.4505,5.4505,equity,0.009456531790724115,0.009456531790724115,0.009456531790724115,Global Public Equities,China Internet ADR,Consumer Discretionary,Broadline Retail,Greater China,Large Cap,Liquid,BABA,direct,direct
2023-02-28,H_BIL,H_BIL,SPDR 1-3 Month T-Bill ETF,etf,long,6.9579,6.9579,6.9579,6.9579,etf,0.01207184708681393,0.01207184708681393,0.01207184708681393,Fixed Income & Liquid Credit,Treasury Bills,Fixed Income / Sovereign,Treasury Bills,North America,Non-classifiable,Liquid,BIL,benchmark_proxy,proxy
2023-02-28,H_BRKB,H_BRKB,Berkshire Hathaway Class B,equity,long,7.9498,7.9498,7.9498,7.9498,equity,0.013792777989156695,0.013792777989156695,0.013792777989156695,Global Public Equities,US Quality Compounder,Financials,Multi-Sector Holdings,North America,Mega Cap,Liquid,BRK.B,direct,direct
2023-02-28,H_CASH_HKD,H_CASH_HKD,HKD Working Capital,cash,long,2.2607,2.2607,2.2607,2.2607,cash,0.003922278950424732,0.003922278950424732,0.003922278950424732,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-02-28,H_CASH_JPY,H_CASH_JPY,JPY Treasury Buffer,cash,long,1.5072,1.5072,1.5072,1.5072,cash,0.00261496829923482,0.00261496829923482,0.00261496829923482,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-02-28,H_CASH_OPS_USD,H_CASH_OPS_USD,USD Operating Cash,cash,long,11.3037,11.3037,11.3037,11.3037,cash,0.019611741748978655,0.019611741748978655,0.019611741748978655,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-02-28,H_CASH_RESERVE_USD,H_CASH_RESERVE_USD,USD Liquidity Reserve,cash,long,4.2389,4.2389,4.2389,4.2389,cash,0.0073544248431704345,0.0073544248431704345,0.0073544248431704345,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-02-28,H_CASH_SGD,H_CASH_SGD,SGD Near-Term Reserve,cash,long,1.884,1.884,1.884,1.884,cash,0.0032687103740435246,0.0032687103740435246,0.0032687103740435246,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-02-28,H_CNYA,H_CNYA,iShares MSCI China A ETF,etf,long,6.2291,6.2291,6.2291,6.2291,etf,0.010807390547215774,0.010807390547215774,0.010807390547215774,Global Public Equities,China A-Shares,Multi-Sector / Diversified,China A-Shares ETF,Greater China,All Cap,Liquid,CNYA,lookthrough,lookthrough
2023-02-28,H_DBC,H_DBC,Broad Commodities ETF Proxy,etf,long,6.5776,6.5776,6.5776,6.5776,etf,0.011412032567042828,0.011412032567042828,0.011412032567042828,Hedge Funds / Absolute Return,Commodities,Commodities,Broad Commodities,Global / Multi-region,Non-classifiable,Liquid,DBC,benchmark_proxy,proxy
2023-02-28,H_DBMF,H_DBMF,Managed Futures ETF Proxy,etf,long,8.222,8.222,8.222,8.222,etf,0.014265040708803535,0.014265040708803535,0.014265040708803535,Hedge Funds / Absolute Return,Managed Futures,Multi-Strategy,Managed Futures,Global / Multi-region,Non-classifiable,Liquid,DBMF,benchmark_proxy,proxy
2023-02-28,H_EEM,H_EEM,iShares MSCI Emerging Markets ETF,etf,long,4.9288,4.9288,4.9288,4.9288,etf,0.008551390494472254,0.008551390494472254,0.008551390494472254,Global Public Equities,Emerging Markets Core,Multi-Sector / Diversified,EM Equity ETF,Global / Multi-region,All Cap,Liquid,EEM,lookthrough,lookthrough
2023-02-28,H_EMB,H_EMB,iShares Emerging Markets Bond ETF,etf,long,6.958,6.958,6.958,6.958,etf,0.012072020585241426,0.012072020585241426,0.012072020585241426,Fixed Income & Liquid Credit,EM Sovereign / Credit,Fixed Income / Credit,EM Debt,Global / Multi-region,Non-classifiable,Liquid,EMB,benchmark_proxy,proxy
2023-02-28,H_ES_SHORT,H_ES_SHORT,S&P 500 Overlay Short Future,future,short,1.9875,-11.924999999999999,11.924999999999999,-11.924999999999999,signed_notional,0.0034482812465029223,0.020689687479017532,-0.020689687479017532,Global Public Equities,Equity Index Overlay,Multi-Sector / Diversified,Equity Index Future,North America,Multi Cap,Liquid,SPY,underlying_proxy,proxy
2023-02-28,H_EWJ,H_EWJ,iShares MSCI Japan ETF,etf,long,5.0366,5.0366,5.0366,5.0366,etf,0.008738421799314023,0.008738421799314023,0.008738421799314023,Global Public Equities,Japan Equities,Multi-Sector / Diversified,Japan Equity ETF,Japan,Large Cap,Liquid,EWJ,lookthrough,lookthrough
2023-02-28,H_EWS,H_EWS,iShares MSCI Singapore ETF,etf,long,2.1368,2.1368,2.1368,2.1368,etf,0.003707314398755947,0.003707314398755947,0.003707314398755947,Global Public Equities,Southeast Asia Equities,Multi-Sector / Diversified,Southeast Asia Equity ETF,Southeast Asia,Large Cap,Liquid,EWS,lookthrough,lookthrough
