date,currency,usd_to_local_rate,source
2024-03-31,USD,0.989417,synthetic_v1_dataset_generator
2024-03-31,HKD,7.717452,synthetic_v1_dataset_generator
2024-03-31,JPY,138.518365,synthetic_v1_dataset_generator
2024-03-31,INR,81.132185,synthetic_v1_dataset_generator
2024-03-31,SGD,1.325819,synthetic_v1_dataset_generator
2024-03-31,CNY,7.02486,synthetic_v1_dataset_generator
2024-03-31,EUR,0.910264,synthetic_v1_dataset_generator
2024-04-30,USD,0.991327,synthetic_v1_dataset_generator
2024-04-30,HKD,7.732351,synthetic_v1_dataset_generator
2024-04-30,JPY,138.785784,synthetic_v1_dataset_generator
2024-04-30,INR,81.288816,synthetic_v1_dataset_generator
2024-04-30,SGD,1.328378,synthetic_v1_dataset_generator
2024-04-30,CNY,7.038422,synthetic_v1_dataset_generator
2024-04-30,EUR,0.912021,synthetic_v1_dataset_generator
2024-05-31,USD,0.993478,synthetic_v1_dataset_generator
2024-05-31,HKD,7.749125,synthetic_v1_dataset_generator
2024-05-31,JPY,139.086852,synthetic_v1_dataset_generator
2024-05-31,INR,81.465156,synthetic_v1_dataset_generator
2024-05-31,SGD,1.33126,synthetic_v1_dataset_generator
2024-05-31,CNY,7.05369,synthetic_v1_dataset_generator
2024-05-31,EUR,0.913999,synthetic_v1_dataset_generator
2024-06-30,USD,0.995809,synthetic_v1_dataset_generator
2024-06-30,HKD,7.767308,synthetic_v1_dataset_generator
2024-06-30,JPY,139.413227,synthetic_v1_dataset_generator
2024-06-30,INR,81.656319,synthetic_v1_dataset_generator
2024-06-30,SGD,1.334384,synthetic_v1_dataset_generator
2024-06-30,CNY,7.070242,synthetic_v1_dataset_generator
2024-06-30,EUR,0.916144,synthetic_v1_dataset_generator
2024-07-31,USD,0.998256,synthetic_v1_dataset_generator
2024-07-31,HKD,7.786398,synthetic_v1_dataset_generator
2024-07-31,JPY,139.755864,synthetic_v1_dataset_generator
2024-07-31,INR,81.857006,synthetic_v1_dataset_generator
2024-07-31,SGD,1.337663,synthetic_v1_dataset_generator
2024-07-31,CNY,7.087619,synthetic_v1_dataset_generator
2024-07-31,EUR,0.918396,synthetic_v1_dataset_generator
2024-08-31,USD,1.000752,synthetic_v1_dataset_generator
2024-08-31,HKD,7.805865,synthetic_v1_dataset_generator
2024-08-31,JPY,140.105267,synthetic_v1_dataset_generator
2024-08-31,INR,82.061656,synthetic_v1_dataset_generator
2024-08-31,SGD,1.341008,synthetic_v1_dataset_generator
2024-08-31,CNY,7.105339,synthetic_v1_dataset_generator
2024-08-31,EUR,0.920692,synthetic_v1_dataset_generator
2024-09-30,USD,1.003227,synthetic_v1_dataset_generator
2024-09-30,HKD,7.825169,synthetic_v1_dataset_generator
2024-09-30,JPY,140.451752,synthetic_v1_dataset_generator
2024-09-30,INR,82.264598,synthetic_v1_dataset_generator
2024-09-30,SGD,1.344324,synthetic_v1_dataset_generator
2024-09-30,CNY,7.12291,synthetic_v1_dataset_generator
2024-09-30,EUR,0.922969,synthetic_v1_dataset_generator
2024-10-31,USD,1.005612,synthetic_v1_dataset_generator
2024-10-31,HKD,7.843776,synthetic_v1_dataset_generator
2024-10-31,JPY,140.785718,synthetic_v1_dataset_generator
2024-10-31,INR,82.460206,synthetic_v1_dataset_generator
2024-10-31,SGD,1.34752,synthetic_v1_dataset_generator
2024-10-31,CNY,7.139847,synthetic_v1_dataset_generator
2024-10-31,EUR,0.925163,synthetic_v1_dataset_generator
2024-11-30,USD,1.007842,synthetic_v1_dataset_generator
2024-11-30,HKD,7.861169,synthetic_v1_dataset_generator
2024-11-30,JPY,141.097908,synthetic_v1_dataset_generator
2024-11-30,INR,82.643061,synthetic_v1_dataset_generator
2024-11-30,SGD,1.350509,synthetic_v1_dataset_generator
2024-11-30,CNY,7.15568,synthetic_v1_dataset_generator
2024-11-30,EUR,0.927215,synthetic_v1_dataset_generator
2024-12-31,USD,1.009855,synthetic_v1_dataset_generator
2024-12-31,HKD,7.876867,synthetic_v1_dataset_generator
2024-12-31,JPY,141.379672,synthetic_v1_dataset_generator
2024-12-31,INR,82.808094,synthetic_v1_dataset_generator
2024-12-31,SGD,1.353205,synthetic_v1_dataset_generator
2024-12-31,CNY,7.169969,synthetic_v1_dataset_generator
2024-12-31,EUR,0.929066,synthetic_v1_dataset_generator
2025-01-31,USD,1.011594,synthetic_v1_dataset_generator
2025-01-31,HKD,7.890435,synthetic_v1_dataset_generator
2025-01-31,JPY,141.6232,synthetic_v1_dataset_generator
2025-01-31,INR,82.950731,synthetic_v1_dataset_generator
2025-01-31,SGD,1.355536,synthetic_v1_dataset_generator
2025-01-31,CNY,7.182319,synthetic_v1_dataset_generator
2025-01-31,EUR,0.930667,synthetic_v1_dataset_generator
2025-02-28,USD,1.013012,synthetic_v1_dataset_generator
2025-02-28,HKD,7.901497,synthetic_v1_dataset_generator
2025-02-28,JPY,141.821743,synthetic_v1_dataset_generator
2025-02-28,INR,83.067021,synthetic_v1_dataset_generator
2025-02-28,SGD,1.357437,synthetic_v1_dataset_generator
2025-02-28,CNY,7.192388,synthetic_v1_dataset_generator
2025-02-28,EUR,0.931971,synthetic_v1_dataset_generator
2025-03-31,USD,1.01407,synthetic_v1_dataset_generator
2025-03-31,HKD,7.909746,synthetic_v1_dataset_generator
2025-03-31,JPY,141.9698,synthetic_v1_dataset_generator
2025-03-31,INR,83.15374,synthetic_v1_dataset_generator
2025-03-31,SGD,1.358854,synthetic_v1_dataset_generator
2025-03-31,CNY,7.199897,synthetic_v1_dataset_generator
2025-03-31,EUR,0.932944,synthetic_v1_dataset_generator
2025-04-30,USD,1.014738,synthetic_v1_dataset_generator
2025-04-30,HKD,7.914953,synthetic_v1_dataset_generator
2025-04-30,JPY,142.063266,synthetic_v1_dataset_generator
2025-04-30,INR,83.208485,synthetic_v1_dataset_generator
2025-04-30,SGD,1.359748,synthetic_v1_dataset_generator
2025-04-30,CNY,7.204637,synthetic_v1_dataset_generator
2025-04-30,EUR,0.933559,synthetic_v1_dataset_generator
2025-05-31,USD,1.014997,synthetic_v1_dataset_generator
2025-05-31,HKD,7.916975,synthetic_v1_dataset_generator
2025-05-31,JPY,142.099552,synthetic_v1_dataset_generator
2025-05-31,INR,83.229738,synthetic_v1_dataset_generator
2025-05-31,SGD,1.360096,synthetic_v1_dataset_generator
2025-05-31,CNY,7.206477,synthetic_v1_dataset_generator
2025-05-31,EUR,0.933797,synthetic_v1_dataset_generator
2025-06-30,USD,1.01484,synthetic_v1_dataset_generator
2025-06-30,HKD,7.915755,synthetic_v1_dataset_generator
2025-06-30,JPY,142.077652,synthetic_v1_dataset_generator
2025-06-30,INR,83.216911,synthetic_v1_dataset_generator
2025-06-30,SGD,1.359886,synthetic_v1_dataset_generator
2025-06-30,CNY,7.205367,synthetic_v1_dataset_generator
2025-06-30,EUR,0.933653,synthetic_v1_dataset_generator
2025-07-31,USD,1.014273,synthetic_v1_dataset_generator
2025-07-31,HKD,7.911327,synthetic_v1_dataset_generator
2025-07-31,JPY,141.998173,synthetic_v1_dataset_generator
2025-07-31,INR,83.170359,synthetic_v1_dataset_generator
2025-07-31,SGD,1.359125,synthetic_v1_dataset_generator
2025-07-31,CNY,7.201336,synthetic_v1_dataset_generator
2025-07-31,EUR,0.933131,synthetic_v1_dataset_generator
2025-08-31,USD,1.013309,synthetic_v1_dataset_generator
2025-08-31,HKD,7.903813,synthetic_v1_dataset_generator
2025-08-31,JPY,141.863318,synthetic_v1_dataset_generator
2025-08-31,INR,83.091372,synthetic_v1_dataset_generator
2025-08-31,SGD,1.357835,synthetic_v1_dataset_generator
2025-08-31,CNY,7.194497,synthetic_v1_dataset_generator
2025-08-31,EUR,0.932245,synthetic_v1_dataset_generator
2025-09-30,USD,1.011977,synthetic_v1_dataset_generator
2025-09-30,HKD,7.893423,synthetic_v1_dataset_generator
2025-09-30,JPY,141.676823,synthetic_v1_dataset_generator
2025-09-30,INR,82.982139,synthetic_v1_dataset_generator
2025-09-30,SGD,1.35605,synthetic_v1_dataset_generator
2025-09-30,CNY,7.185039,synthetic_v1_dataset_generator
2025-09-30,EUR,0.931019,synthetic_v1_dataset_generator
2025-10-31,USD,1.010313,synthetic_v1_dataset_generator
2025-10-31,HKD,7.880443,synthetic_v1_dataset_generator
2025-10-31,JPY,141.443858,synthetic_v1_dataset_generator
2025-10-31,INR,82.845688,synthetic_v1_dataset_generator
2025-10-31,SGD,1.35382,synthetic_v1_dataset_generator
2025-10-31,CNY,7.173224,synthetic_v1_dataset_generator
2025-10-31,EUR,0.929488,synthetic_v1_dataset_generator
2025-11-30,USD,1.008363,synthetic_v1_dataset_generator
2025-11-30,HKD,7.865235,synthetic_v1_dataset_generator
2025-11-30,JPY,141.170878,synthetic_v1_dataset_generator
2025-11-30,INR,82.6858,synthetic_v1_dataset_generator
2025-11-30,SGD,1.351207,synthetic_v1_dataset_generator
2025-11-30,CNY,7.15938,synthetic_v1_dataset_generator
2025-11-30,EUR,0.927694,synthetic_v1_dataset_generator
2025-12-31,USD,1.006182,synthetic_v1_dataset_generator
2025-12-31,HKD,7.848218,synthetic_v1_dataset_generator
2025-12-31,JPY,140.865449,synthetic_v1_dataset_generator
2025-12-31,INR,82.506906,synthetic_v1_dataset_generator
2025-12-31,SGD,1.348284,synthetic_v1_dataset_generator
2025-12-31,CNY,7.143891,synthetic_v1_dataset_generator
2025-12-31,EUR,0.925687,synthetic_v1_dataset_generator
2026-01-31,USD,1.003829,synthetic_v1_dataset_generator
2026-01-31,HKD,7.829865,synthetic_v1_dataset_generator
2026-01-31,JPY,140.536035,synthetic_v1_dataset_generator
2026-01-31,INR,82.313963,synthetic_v1_dataset_generator
2026-01-31,SGD,1.345131,synthetic_v1_dataset_generator
2026-01-31,CNY,7.127185,synthetic_v1_dataset_generator
2026-01-31,EUR,0.923523,synthetic_v1_dataset_generator
2026-02-28,USD,1.00137,synthetic_v1_dataset_generator
2026-02-28,HKD,7.810684,synthetic_v1_dataset_generator
2026-02-28,JPY,140.191766,synthetic_v1_dataset_generator
2026-02-28,INR,82.11232,synthetic_v1_dataset_generator
2026-02-28,SGD,1.341835,synthetic_v1_dataset_generator
2026-02-28,CNY,7.109725,synthetic_v1_dataset_generator
2026-02-28,EUR,0.92126,synthetic_v1_dataset_generator
2026-03-31,USD,0.998873,synthetic_v1_dataset_generator
2026-03-31,HKD,7.791207,synthetic_v1_dataset_generator
2026-03-31,JPY,139.842183,synthetic_v1_dataset_generator
2026-03-31,INR,81.907564,synthetic_v1_dataset_generator
2026-03-31,SGD,1.338489,synthetic_v1_dataset_generator
2026-03-31,CNY,7.091996,synthetic_v1_dataset_generator
2026-03-31,EUR,0.918963,synthetic_v1_dataset_generator
2026-04-30,USD,0.996407,synthetic_v1_dataset_generator
2026-04-30,HKD,7.771974,synthetic_v1_dataset_generator
2026-04-30,JPY,139.496973,synthetic_v1_dataset_generator
2026-04-30,INR,81.70537,synthetic_v1_dataset_generator
2026-04-30,SGD,1.335185,synthetic_v1_dataset_generator
2026-04-30,CNY,7.074489,synthetic_v1_dataset_generator
2026-04-30,EUR,0.916694,synthetic_v1_dataset_generator
