table_name,column_name,description,data_type,notes
capital_calls,investor_entity_id,Synthetic V1 field for `investor_entity_id`.,object,Generated by src.generate_dataset
capital_calls,due_date,Synthetic V1 field for `due_date`.,object,Generated by src.generate_dataset
capital_calls,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
capital_calls,amount_due_usd_m,Synthetic V1 field for `amount_due_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,investment_call_usd_m,Synthetic V1 field for `investment_call_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,management_fee_usd_m,Synthetic V1 field for `management_fee_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,partnership_expense_usd_m,Synthetic V1 field for `partnership_expense_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,unfunded_commitment_before_usd_m,Synthetic V1 field for `unfunded_commitment_before_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,unfunded_commitment_after_usd_m,Synthetic V1 field for `unfunded_commitment_after_usd_m`.,float64,Generated by src.generate_dataset
capital_calls,extraction_confidence,Synthetic V1 field for `extraction_confidence`.,float64,Generated by src.generate_dataset
capital_calls,validation_status,Synthetic V1 field for `validation_status`.,object,Generated by src.generate_dataset
capital_calls,review_status,Synthetic V1 field for `review_status`.,object,Generated by src.generate_dataset
capital_calls,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
capital_statements,statement_id,Synthetic V1 field for `statement_id`.,object,Generated by src.generate_dataset
capital_statements,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
capital_statements,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
capital_statements,raw_fund_name,Synthetic V1 field for `raw_fund_name`.,object,Generated by src.generate_dataset
capital_statements,mapped_fund_name,Synthetic V1 field for `mapped_fund_name`.,object,Generated by src.generate_dataset
capital_statements,period_start,Synthetic V1 field for `period_start`.,object,Generated by src.generate_dataset
capital_statements,period_end,Synthetic V1 field for `period_end`.,object,Generated by src.generate_dataset
capital_statements,beginning_nav_usd_m,Synthetic V1 field for `beginning_nav_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,contributions_usd_m,Synthetic V1 field for `contributions_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,distributions_usd_m,Synthetic V1 field for `distributions_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,management_fees_expenses_usd_m,Synthetic V1 field for `management_fees_expenses_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,realized_gain_loss_usd_m,Synthetic V1 field for `realized_gain_loss_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,unrealized_gain_loss_usd_m,Synthetic V1 field for `unrealized_gain_loss_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,ending_nav_usd_m,Synthetic V1 field for `ending_nav_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,commitment_usd_m,Synthetic V1 field for `commitment_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,paid_in_capital_usd_m,Synthetic V1 field for `paid_in_capital_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,unfunded_commitment_usd_m,Synthetic V1 field for `unfunded_commitment_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,nav_roll_forward_variance_usd_m,Synthetic V1 field for `nav_roll_forward_variance_usd_m`.,float64,Generated by src.generate_dataset
capital_statements,extraction_confidence,Synthetic V1 field for `extraction_confidence`.,float64,Generated by src.generate_dataset
capital_statements,validation_status,Synthetic V1 field for `validation_status`.,object,Generated by src.generate_dataset
capital_statements,review_status,Synthetic V1 field for `review_status`.,object,Generated by src.generate_dataset
capital_statements,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
distributions,event_id,Synthetic V1 field for `event_id`.,object,Generated by src.generate_dataset
distributions,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
distributions,event_date,Synthetic V1 field for `event_date`.,object,Generated by src.generate_dataset
distributions,notice_date,Synthetic V1 field for `notice_date`.,object,Generated by src.generate_dataset
distributions,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
distributions,raw_fund_name,Synthetic V1 field for `raw_fund_name`.,object,Generated by src.generate_dataset
distributions,mapped_fund_name,Synthetic V1 field for `mapped_fund_name`.,object,Generated by src.generate_dataset
distributions,investor_entity_id,Synthetic V1 field for `investor_entity_id`.,object,Generated by src.generate_dataset
distributions,payment_date,Synthetic V1 field for `payment_date`.,object,Generated by src.generate_dataset
distributions,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
distributions,gross_distribution_usd_m,Synthetic V1 field for `gross_distribution_usd_m`.,float64,Generated by src.generate_dataset
distributions,return_of_capital_usd_m,Synthetic V1 field for `return_of_capital_usd_m`.,float64,Generated by src.generate_dataset
distributions,realized_gain_usd_m,Synthetic V1 field for `realized_gain_usd_m`.,float64,Generated by src.generate_dataset
distributions,income_usd_m,Synthetic V1 field for `income_usd_m`.,float64,Generated by src.generate_dataset
distributions,fees_expenses_usd_m,Synthetic V1 field for `fees_expenses_usd_m`.,float64,Generated by src.generate_dataset
distributions,net_distribution_usd_m,Synthetic V1 field for `net_distribution_usd_m`.,float64,Generated by src.generate_dataset
distributions,extraction_confidence,Synthetic V1 field for `extraction_confidence`.,float64,Generated by src.generate_dataset
distributions,validation_status,Synthetic V1 field for `validation_status`.,object,Generated by src.generate_dataset
distributions,review_status,Synthetic V1 field for `review_status`.,object,Generated by src.generate_dataset
distributions,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
document_metadata,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
document_metadata,file_name,Synthetic V1 field for `file_name`.,object,Generated by src.generate_dataset
document_metadata,document_type,Synthetic V1 field for `document_type`.,object,Generated by src.generate_dataset
document_metadata,related_fund_id,Synthetic V1 field for `related_fund_id`.,object,Generated by src.generate_dataset
document_metadata,related_fund_name,Synthetic V1 field for `related_fund_name`.,object,Generated by src.generate_dataset
document_metadata,received_date,Synthetic V1 field for `received_date`.,object,Generated by src.generate_dataset
document_metadata,reporting_or_event_period,Synthetic V1 field for `reporting_or_event_period`.,object,Generated by src.generate_dataset
document_metadata,template_basis,Synthetic V1 field for `template_basis`.,object,Generated by src.generate_dataset
document_metadata,expected_status,Synthetic V1 field for `expected_status`.,object,Generated by src.generate_dataset
document_update_map,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
document_update_map,extracted_data_written_to,Synthetic V1 field for `extracted_data_written_to`.,object,Generated by src.generate_dataset
document_update_map,validated_against,Synthetic V1 field for `validated_against`.,object,Generated by src.generate_dataset
document_update_map,dashboard_impact,Synthetic V1 field for `dashboard_impact`.,object,Generated by src.generate_dataset
expected_position_updates,as_of_date,Synthetic V1 field for `as_of_date`.,object,Generated by src.generate_dataset
expected_position_updates,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
expected_position_updates,fund_name,Synthetic V1 field for `fund_name`.,object,Generated by src.generate_dataset
expected_position_updates,pre_paid_in_usd_m,Synthetic V1 field for `pre_paid_in_usd_m`.,float64,Generated by src.generate_dataset
expected_position_updates,post_paid_in_usd_m,Synthetic V1 field for `post_paid_in_usd_m`.,float64,Generated by src.generate_dataset
expected_position_updates,pre_unfunded_usd_m,Synthetic V1 field for `pre_unfunded_usd_m`.,float64,Generated by src.generate_dataset
expected_position_updates,post_unfunded_usd_m,Synthetic V1 field for `post_unfunded_usd_m`.,float64,Generated by src.generate_dataset
